TsetName	Method	TsetSize	TotalREDfly	ModifiedREDfly	TotalREDfly2010	ModifiedREDfly2010	SCRMs	TrainingSetRecovered	PercentageTrainingSetSensitivity	ExpectedValueRandom	PercentageExpectedTrainingSetSensitivity	DifferencesInPercentagesActual&Expected	P_value	REDflyRecovered	PercentageRedflyRecovered	ExpectedOverlapRandom	PercentageExpectedOverlap	DifferencesInPercentagesActual&Expected	P_value	PercentageRecallREDflyRecovery	numberOfKnownCrmsCausesExpressionInTset	numOfSCRMsRecoveredExpMappedCrms	PercentagePatternRecovery	RandomREDflyRecoveredPattern	PercentageOfRandomPatternRecovered	numOfRecoveredSCrmsBelongingToOwnGroup	numOfRecoveredSCrmsBelongingToAnyGroup	percentageExpressionPatternPrecision	ExpectedpercentageExpressionPatternPrecision	P_value	DifferencesInPercentagesActual&ExpectedExpressionRecovered	percentageExpressionPatternRecall	ExpectedpercentageExpressionPatternRecall
endoderm.mapping1	imm	52	9368	23729	11461	11434	544	18	0.346153846	0	0	0.346153846	0	225	0.427756654	54	0.102661597	0.314338235	1.68E-129	0.019678153	1310	290	0.551330798	265.9	0.505513308	43	290	0.148275862	0.114106796	0.135254829	0.034169066	0.032824427	0.011603053
mapping1.pns	imm	58	9368	23699	11461	11443	404	28	0.482758621	0	0	0.482758621	0	95	0.252659574	42.4	0.112765957	0.13019802	1.38E-20	0.008302019	612	139	0.369680851	199.6	0.530851064	17	139	0.122302158	0.049393443	1.17E-06	0.072908715	0.027777778	0.008006536
disc.mapping1	imm	66	9368	23708	11461	11445	555	21	0.318181818	0.2	0.003030303	0.315151515	0	145	0.271535581	53.8	0.100749064	0.164324324	3.83E-37	0.012669288	1638	259	0.485018727	265	0.496254682	62	259	0.239382239	0.181968189	0.028226863	0.05741405	0.037851038	0.015689866
disc.mapping2	imm	37	9368	23759	11461	11451	475	16	0.432432432	0.1	0.002702703	0.42972973	0	143	0.311546841	46.8	0.101960784	0.202526316	7.95E-24	0.012487992	1204	217	0.472766885	222.6	0.48496732	36	217	0.165898618	0.14506095	0.221384262	0.020837667	0.029900332	0.014451827
embryonic_salivary	imm	7	9368	23798	11461	11458	539	5	0.714285714	0	0	0.714285714	0	140	0.262172285	53	0.099250936	0.161410019	5.22E-26	0.012218537	70	141	0.264044944	234.7	0.439513109	3	141	0.021276596	0.006017701	0.039610786	0.015258895	0.042857143	0.011428571
adult_foregut	imm	20	9368	23788	11461	11456	341	9	0.45	0.1	0.005	0.445	1.41E-174	96	0.289156627	34.7	0.104518072	0.179765396	1.70E-16	0.008379888	62	172	0.518072289	159	0.478915663	0	172	0	0.001136364	0.624085183	-0.001136364	0	0.001612903
eye.mapping1	imm	20	9368	23779	11461	11456	373	14	0.7	0	0	0.7	0	140	0.389972145	37.1	0.103342618	0.275871314	6.83E-85	0.01222067	151	202	0.562674095	166.5	0.463788301	9	202	0.044554455	0.013018523	0.000545073	0.031535932	0.059602649	0.00794702
mapping1.ventral_ectoderm	imm	18	9368	23772	11461	11458	447	14	0.777777778	0.2	0.011111111	0.766666667	7.54E-106	102	0.23556582	46.3	0.106928406	0.124608501	9.51E-14	0.008902077	571	182	0.420323326	203.8	0.470669746	21	182	0.115384615	0.051998019	0.000120817	0.063386596	0.036777583	0.010507881
eye.mapping2	imm	64	9368	23717	11461	11436	453	13	0.203125	0	0	0.203125	0	176	0.4	43.8	0.099545455	0.29183223	8.18E-84	0.015389997	866	245	0.556818182	215	0.488636364	28	245	0.114285714	0.101407813	0.3454047	0.012877902	0.032332564	0.013394919
adult_mesoderm.mapping1	imm	30	9368	23761	11461	11451	447	19	0.633333333	0.2	0.006666667	0.626666667	0	198	0.462616822	46	0.107476636	0.340044743	9.54E-251	0.017291066	77	249	0.581775701	209.9	0.490420561	7	249	0.02811245	0.001661152	2.19E-14	0.026451297	0.090909091	0.002597403
mapping2.glia	imm	9	9368	23790	11461	11460	346	9	1	0	0	1	0	95	0.28189911	33.1	0.098219585	0.178901734	2.15E-26	0.008289703	96	148	0.439169139	141	0.418397626	8	148	0.054054054	0.009968547	3.09E-08	0.044085507	0.083333333	0.008333333
eye_disc	imm	35	9368	23754	11461	11456	484	15	0.428571429	0.1	0.002857143	0.425714286	0	111	0.236673774	48.3	0.102985075	0.129545455	2.51E-12	0.009689246	793	207	0.441364606	221.8	0.472921109	30	207	0.144927536	0.095231658	0.090173525	0.049695878	0.037831021	0.013997478
mapping1.somatic_muscle	imm	36	9368	23735	11461	11445	452	17	0.472222222	0.1	0.002777778	0.469444444	0	126	0.289655172	44.7	0.102758621	0.179867257	1.49E-33	0.011009174	215	171	0.393103448	209.8	0.482298851	15	171	0.087719298	0.010616855	1.23E-13	0.077102443	0.069767442	0.005581395
mapping2.imaginal_disc	imm	31	9368	23746	11461	11448	451	18	0.580645161	0.2	0.006451613	0.574193548	0	87	0.200923788	46.3	0.106928406	0.090243902	1.02E-07	0.007599581	157	164	0.378752887	221.4	0.511316397	11	164	0.067073171	0.017059113	1.28E-07	0.050014058	0.070063694	0.012101911
reproductive.mapping2	imm	46	9368	23732	11461	11445	542	2	0.043478261	0	0	0.043478261	0	233	0.431481481	56.5	0.10462963	0.325645756	2.31E-131	0.020358235	577	288	0.533333333	255.2	0.472592593	25	288	0.086805556	0.055260713	0.050324433	0.031544843	0.043327556	0.012305026
glia.mapping1	imm	40	9368	23757	11461	11450	549	16	0.4	0	0	0.4	0	161	0.30206379	56.8	0.106566604	0.189799636	1.06E-51	0.014061135	454	268	0.502814259	237.2	0.445028143	14	268	0.052238806	0.046876167	0.393876935	0.005362639	0.030837004	0.013656388
glia.mapping2	imm	42	9368	23754	11461	11449	585	15	0.357142857	0.2	0.004761905	0.352380952	3.22E-270	162	0.284210526	59.8	0.104912281	0.174700855	3.63E-69	0.014149707	456	282	0.494736842	276.4	0.484912281	15	282	0.053191489	0.041072976	0.278154743	0.012118514	0.032894737	0.013377193
embryonic_somatic_muscle	imm	25	9368	23769	11461	11447	382	18	0.72	0	0	0.72	0	146	0.401098901	35.8	0.098351648	0.288481675	4.02E-91	0.012754433	184	187	0.513736264	174.2	0.478571429	6	187	0.032085561	0.012058723	0.010152591	0.020026838	0.032608696	0.005978261
mapping2.tracheal_system	imm	21	9368	23765	11461	11449	465	16	0.761904762	0.2	0.00952381	0.752380952	1.27E-307	95	0.211581292	46	0.102449889	0.105376344	3.44E-17	0.008297668	279	189	0.420935412	218.1	0.485746102	15	189	0.079365079	0.037860336	0.000291435	0.041504744	0.053763441	0.016129032
gonad	imm	38	9368	23741	11461	11449	491	2	0.052631579	0	0	0.052631579	0	225	0.460122699	50.5	0.103271984	0.355397149	3.50E-131	0.019652371	230	269	0.550102249	231.8	0.47402863	8	269	0.029739777	0.012980683	0.074164634	0.016759094	0.034782609	0.006956522
mapping2.reproductive_system	imm	30	9368	23747	11461	11455	302	7	0.233333333	0	0	0.233333333	0	61	0.206779661	28.7	0.097288136	0.106953642	9.98E-09	0.005325186	138	117	0.396610169	137.9	0.467457627	2	117	0.017094017	0	0	0.017094017	0.014492754	0
haltere_disc	imm	18	9368	23786	11461	11452	368	10	0.555555556	0	0	0.555555556	0	161	0.44972067	38.4	0.10726257	0.333152174	5.15E-177	0.01405868	551	201	0.561452514	179.4	0.501117318	11	201	0.054726368	0.067225667	0.886778004	-0.012499299	0.019963702	0.011252269
embryonic_midgut	imm	34	9368	23748	11461	11445	485	17	0.5	0	0	0.5	0	214	0.457264957	47.5	0.101495726	0.343298969	4.58E-73	0.018698121	321	260	0.555555556	225.9	0.482692308	11	260	0.042307692	0.029278463	0.124113492	0.01302923	0.034267913	0.0105919
mapping1.malpighian_tubules	imm	6	9368	23796	11461	11460	250	4	0.666666667	0	0	0.666666667	0	68	0.276422764	23.1	0.093902439	0.1796	1.14E-23	0.005933682	106	89	0.361788618	110.4	0.448780488	2	89	0.02247191	0.007700038	0.088986005	0.014771872	0.018867925	0.004716981
adult_muscle	imm	16	9368	23782	11461	11456	340	12	0.75	0	0	0.75	0	128	0.390243902	29.9	0.091158537	0.288529412	5.07E-102	0.011173184	45	158	0.481707317	141.5	0.431402439	5	158	0.03164557	0	0	0.03164557	0.111111111	0
embryonic_ventral_nervous_system	imm	68	9368	23731	11461	11412	479	14	0.205882353	0.2	0.002941176	0.202941176	2.96E-235	146	0.313978495	46.5	0.1	0.207724426	5.58E-54	0.012793551	1441	249	0.535483871	217.9	0.468602151	40	249	0.16064257	0.152593909	0.425987632	0.008048661	0.027758501	0.012907703
leg	imm	40	9368	23752	11461	11448	495	15	0.375	0	0	0.375	0	181	0.377083333	48.5	0.101041667	0.267676768	2.26E-81	0.015810622	1049	232	0.483333333	234.9	0.489375	34	232	0.146551724	0.135613107	0.405483215	0.010938617	0.032411821	0.015061964
emb-larv_hindgut	imm	14	9368	23784	11461	11457	368	12	0.857142857	0	0	0.857142857	0	128	0.359550562	37.3	0.104775281	0.246467391	1.94E-46	0.011172209	141	180	0.505617978	170.1	0.477808989	4	180	0.022222222	0.015159825	0.328838184	0.007062397	0.028368794	0.009929078
emb-larval_opticlobe	imm	29	9368	23778	11461	11441	571	13	0.448275862	0	0	0.448275862	0	201	0.360215054	58.4	0.104659498	0.249737303	6.36E-94	0.017568394	1054	302	0.541218638	262.2	0.469892473	33	302	0.109271523	0.140611102	0.929667087	-0.031339578	0.031309298	0.018975332
adult_cns	imm	82	9368	23713	11461	11402	550	5	0.06097561	0.1	0.001219512	0.059756098	1.87E-54	109	0.2	55.2	0.101284404	0.097818182	5.76E-30	0.009559726	2699	220	0.403669725	250.8	0.460183486	68	220	0.309090909	0.259324841	0.061895923	0.049766068	0.025194516	0.012486106
emb-larval_mushroombody	imm	40	9368	23768	11461	11429	492	17	0.425	0	0	0.425	0	107	0.225263158	47.6	0.100210526	0.120731707	1.76E-12	0.009362149	459	197	0.414736842	218.5	0.46	14	197	0.07106599	0.048340215	0.080256252	0.022725775	0.030501089	0.012854031
mapping1.dorsal_ectoderm	imm	13	9368	23781	11461	11461	311	11	0.846153846	0	0	0.846153846	0	76	0.253333333	31	0.103333333	0.144694534	2.65E-40	0.006631184	354	108	0.36	152.8	0.509333333	13	108	0.12037037	0.050661892	0.008100432	0.069708479	0.036723164	0.011299435
imaginal_disc	imm	71	9368	23702	11461	11445	579	16	0.225352113	0.1	0.001408451	0.223943662	0	165	0.293072824	56.2	0.09982238	0.18791019	1.98E-55	0.014416776	1661	272	0.48312611	263.7	0.468383659	59	272	0.216911765	0.17841122	0.129357453	0.038500544	0.035520771	0.015532812
emb-larv_visceral	imm	27	9368	23764	11461	11450	385	15	0.555555556	0.1	0.003703704	0.551851852	0	111	0.3	32.8	0.088648649	0.203116883	3.24E-36	0.009694323	219	188	0.508108108	167	0.451351351	4	188	0.021276596	0.011465275	0.226157763	0.009811321	0.01826484	0.005022831
emb-larval_neuron	imm	73	9368	23732	11461	11407	487	6	0.082191781	0	0	0.082191781	0	178	0.37006237	49.5	0.102910603	0.26386037	1.05E-305	0.015604453	2400	245	0.509355509	225	0.467775468	39	245	0.159183673	0.280107562	0.997110296	-0.120923889	0.01625	0.013625
fat_body.mapping1	imm	16	9368	23783	11461	11453	275	11	0.6875	0	0	0.6875	0	68	0.257575758	27.1	0.102651515	0.148727273	3.66E-20	0.005937309	58	99	0.375	123	0.465909091	2	99	0.02020202	0.004265203	0.044740648	0.015936817	0.034482759	0.005172414
mapping2.mesectoderm	imm	8	9368	23792	11461	11459	377	8	1	0	0	1	0	94	0.254742547	35.9	0.097289973	0.154111406	5.79E-18	0.008203159	116	142	0.384823848	164.2	0.44498645	7	142	0.049295775	0.007208528	1.11E-16	0.042087246	0.060344828	0.006034483
mapping1.mesoderm	imm	26	9368	23755	11461	11456	355	18	0.692307692	0.1	0.003846154	0.688461538	0	81	0.240356083	35.5	0.105341246	0.128169014	4.31E-22	0.007070531	380	105	0.3115727	168.1	0.498813056	20	105	0.19047619	0.024677957	0	0.165798233	0.052631579	0.005526316
emb-larval_cns	imm	56	9368	23748	11461	11419	738	20	0.357142857	0.1	0.001785714	0.355357143	0	104	0.144846797	73	0.101671309	0.04200542	3.77E-05	0.009107628	626	203	0.282729805	318.3	0.443314763	13	203	0.064039409	0.043334579	0.120035749	0.02070483	0.020766773	0.012460064
trachea.mapping1	imm	24	9368	23768	11461	11449	385	10	0.416666667	0.1	0.004166667	0.4125	1.90E-215	103	0.274666667	34.8	0.0928	0.177142857	2.79E-51	0.008996419	284	175	0.466666667	172.1	0.458933333	7	175	0.04	0.03083646	0.331945012	0.00916354	0.024647887	0.009859155
antennal_lobe	imm	31	9368	23777	11461	11437	595	15	0.483870968	0	0	0.483870968	0	170	0.293103448	61.3	0.105689655	0.182689076	2.00E-63	0.014864038	1353	266	0.45862069	281.8	0.485862069	39	266	0.146616541	0.16788234	0.684088688	-0.021265799	0.028824834	0.01751663
adult_brain	imm	77	9368	23719	11461	11406	611	7	0.090909091	0.1	0.001298701	0.08961039	7.54E-106	110	0.182119205	59.1	0.097847682	0.083306056	5.50E-20	0.009644047	2661	236	0.390728477	290.1	0.480298013	76	236	0.322033898	0.26935808	0.181529896	0.052675818	0.028560691	0.015144682
mesectoderm.mapping1	imm	20	9368	23778	11461	11454	328	12	0.6	0	0	0.6	0	114	0.360759494	33.3	0.105379747	0.246036585	7.32E-51	0.009952855	133	151	0.477848101	158.8	0.502531646	7	151	0.046357616	0.011770446	0.001106122	0.03458717	0.052631579	0.007518797
embryonic_pns	imm	28	9368	23767	11461	11448	528	13	0.464285714	0.2	0.007142857	0.457142857	9.89E-203	161	0.312621359	50.2	0.097475728	0.209848485	1.89E-55	0.014063592	193	270	0.524271845	246.9	0.479417476	6	270	0.022222222	0.02606234	0.582116607	-0.003840118	0.031088083	0.017098446
mapping2.endoderm	imm	29	9368	23751	11461	11457	451	14	0.482758621	0.1	0.003448276	0.479310345	0	107	0.244851259	41.8	0.095652174	0.144567627	1.68E-18	0.009339269	1204	150	0.343249428	201.8	0.461784897	26	150	0.173333333	0.100584985	0.002879368	0.072748348	0.021594684	0.009219269
adult_nervous	imm	101	9368	23686	11461	11399	585	5	0.04950495	0.2	0.001980198	0.047524752	2.51E-30	117	0.201724138	62.2	0.107241379	0.093675214	1.45E-15	0.010264058	2814	251	0.432758621	276.1	0.476034483	76	251	0.302788845	0.291879234	0.405108444	0.01090961	0.027007818	0.01506752
mapping2.amnioserosa	imm	8	9368	23792	11461	11461	164	6	0.75	0	0	0.75	0	38	0.240506329	14.9	0.094303797	0.140853659	8.43E-09	0.003315592	278	52	0.329113924	66.1	0.41835443	4	52	0.076923077	0.021668428	0.010117201	0.055254649	0.014388489	0.00323741
eye-antennal_disc	imm	45	9368	23738	11461	11453	517	17	0.377777778	0.2	0.004444444	0.373333333	0	137	0.274	55.2	0.1104	0.158220503	4.50E-13	0.011961931	1068	239	0.478	224.2	0.4484	48	239	0.20083682	0.133464935	0.001658258	0.067371885	0.04494382	0.015730337
mesoderm.mapping2	imm	147	9368	23577	11461	11395	516	10	0.068027211	0.5	0.003401361	0.06462585	1.88E-41	232	0.458498024	55.6	0.109881423	0.341860465	1.58E-157	0.020359807	1581	299	0.590909091	234.9	0.464229249	47	299	0.157190635	0.10798476	0.017934651	0.049205875	0.02972802	0.008538899
mapping2.wing	imm	42	9368	23728	11461	11448	388	20	0.476190476	0.4	0.00952381	0.466666667	0	75	0.203804348	37.4	0.101630435	0.096907216	3.80E-11	0.006551363	166	141	0.383152174	182.5	0.495923913	14	141	0.09929078	0.009709487	0	0.089581293	0.084337349	0.005421687
glia	imm	33	9368	23767	11461	11451	498	11	0.333333333	0	0	0.333333333	0	154	0.316221766	49	0.100616016	0.210843373	3.57E-47	0.013448607	499	253	0.519507187	217.9	0.447433265	14	253	0.055335968	0.05163618	0.399262682	0.003699788	0.028056112	0.012825651
mapping1.female_gonad	imm	13	9368	23782	11461	11456	231	5	0.384615385	0	0	0.384615385	0	32	0.14159292	22.1	0.097787611	0.042857143	0.001275886	0.002793296	68	42	0.185840708	107.3	0.474778761	2	42	0.047619048	0.001639344	0	0.045979703	0.029411765	0.001470588
emb-larv_excretory	imm	14	9368	23785	11461	11456	425	7	0.5	0	0	0.5	0	197	0.471291866	44.3	0.105980861	0.359294118	9.63E-140	0.017196229	112	233	0.557416268	210.2	0.502870813	3	233	0.012875536	0.010675599	0.416121479	0.002199937	0.026785714	0.009821429
adult_sense_organ	imm	48	9368	23745	11461	11447	501	21	0.4375	0.1	0.002083333	0.435416667	0	75	0.15625	48.1	0.100208333	0.053692615	0.000365759	0.006551935	514	172	0.358333333	209.3	0.436041667	17	172	0.098837209	0.046911461	0.002289348	0.051925748	0.03307393	0.011478599
adult_circulatory	imm	20	9368	23786	11461	11458	335	9	0.45	0.2	0.01	0.44	4.91E-97	93	0.285276074	35.2	0.10797546	0.172537313	5.14E-14	0.0081166	33	164	0.503067485	157.6	0.483435583	1	164	0.006097561	0	0	0.006097561	0.03030303	0
mapping1.tracheal_system	imm	21	9368	23765	11461	11449	506	16	0.761904762	0.1	0.004761905	0.757142857	0	110	0.224489796	48	0.097959184	0.122529644	2.40E-23	0.009607826	279	214	0.436734694	234.5	0.478571429	17	214	0.079439252	0.032070384	1.20E-06	0.047368868	0.0609319	0.014695341
mapping1.imaginal_disc	imm	77	9368	23659	11461	11435	471	25	0.324675325	0.8	0.01038961	0.314285714	3.83E-153	80	0.179372197	48.1	0.107847534	0.067728238	2.67E-09	0.006996065	304	157	0.352017937	219.4	0.491928251	15	157	0.095541401	0.020631006	4.78E-07	0.074910396	0.049342105	0.007894737
emb-larv_foregut	imm	36	9368	23757	11461	11444	508	16	0.444444444	0.1	0.002777778	0.441666667	0	140	0.284552846	49.2	0.1	0.178740157	3.93E-155	0.012233485	316	253	0.514227642	243.1	0.494105691	16	253	0.063241107	0.032226311	0.013606613	0.031014796	0.050632911	0.012341772
mapping1.glia	imm	8	9368	23792	11461	11461	345	8	1	0	0	1	0	104	0.308605341	32.4	0.096142433	0.207536232	2.95E-57	0.009074252	92	131	0.388724036	162	0.480712166	7	131	0.053435115	0.005898251	1.62E-14	0.047536864	0.076086957	0.005434783
ectoderm.mapping2	imm	90	9368	23659	11461	11421	505	15	0.166666667	0.5	0.005555556	0.161111111	6.34E-167	154	0.314285714	53.2	0.108571429	0.19960396	4.83E-39	0.013483933	2510	264	0.53877551	237.1	0.483877551	56	264	0.212121212	0.220998719	0.594028049	-0.008877507	0.022310757	0.010677291
ectoderm.mapping1	imm	58	9368	23712	11461	11436	542	15	0.25862069	0.6	0.010344828	0.248275862	2.51E-30	173	0.328273245	56.5	0.107210626	0.214944649	2.36E-66	0.015127667	1329	264	0.500948767	265.1	0.503036053	33	264	0.125	0.112456148	0.380591046	0.012543852	0.0248307	0.010985704
mapping1.ectoderm	imm	53	9368	23702	11461	11454	528	27	0.509433962	0.3	0.005660377	0.503773585	0	142	0.283433134	51.1	0.101996008	0.172159091	7.62E-77	0.012397416	1201	210	0.419161677	255.4	0.509780439	42	210	0.2	0.103321465	2.62E-05	0.096678535	0.034970858	0.011490425
embryonic_muscle	imm	31	9368	23757	11461	11445	411	19	0.612903226	0	0	0.612903226	0	165	0.420918367	43.1	0.10994898	0.296593674	1.28E-56	0.014416776	192	231	0.589285714	191.2	0.487755102	8	231	0.034632035	0.010921246	0.036788189	0.023710789	0.041666667	0.005729167
mapping1.cns	imm	65	9368	23682	11461	11449	409	19	0.292307692	0.8	0.012307692	0.28	6.75E-50	83	0.212820513	41.9	0.107435897	0.100488998	3.93E-22	0.007249541	2367	128	0.328205128	190.8	0.489230769	34	128	0.265625	0.218141567	0.024324382	0.047483433	0.014364174	0.009674694
male_gonad.mapping1	imm	21	9368	23773	11461	11457	537	5	0.238095238	0	0	0.238095238	0	223	0.419172932	56.7	0.106578947	0.309683426	1.78E-161	0.019464083	76	296	0.556390977	255	0.479323308	5	296	0.016891892	0.001502871	6.25E-07	0.015389021	0.065789474	0.002631579
mapping1.endoderm	imm	29	9368	23751	11461	11457	392	14	0.482758621	0	0	0.482758621	0	128	0.338624339	37.4	0.098941799	0.231122449	1.15E-38	0.011172209	1202	169	0.447089947	178.1	0.471164021	27	169	0.159763314	0.101680541	0.038621646	0.058082773	0.022462562	0.0078203
pns.mapping1	imm	53	9368	23728	11461	11445	517	24	0.452830189	0.1	0.001886792	0.450943396	0	153	0.310344828	54.6	0.110750507	0.19032882	1.01E-27	0.013368283	773	232	0.470588235	236.3	0.479310345	24	232	0.103448276	0.077521926	0.131980757	0.02592635	0.031047865	0.012548512
mapping1.male_gonad	imm	15	9368	23777	11461	11460	441	7	0.466666667	0	0	0.466666667	0	61	0.140552995	39	0.089861751	0.049886621	0.002405824	0.005322862	57	110	0.253456221	195.4	0.450230415	1	110	0.009090909	0	0	0.009090909	0.01754386	0
female_gonad.mapping1	imm	29	9368	23760	11461	11449	392	11	0.379310345	0	0	0.379310345	0	140	0.367454068	35.8	0.093963255	0.265816327	5.85E-80	0.012228142	150	174	0.456692913	174.3	0.457480315	7	174	0.040229885	0.008802079	0.000860828	0.031427806	0.046666667	0.005333333
wing.mapping2	imm	33	9368	23761	11461	11452	424	13	0.393939394	0.1	0.003030303	0.390909091	0	121	0.294403893	40.5	0.098540146	0.189858491	8.93E-28	0.01056584	965	193	0.469586375	194	0.472019465	28	193	0.14507772	0.09998526	0.051497041	0.04509246	0.029015544	0.010777202
neuron	imm	77	9368	23728	11461	11413	534	4	0.051948052	0.2	0.002597403	0.049350649	1.01E-19	182	0.343396226	52	0.098113208	0.243445693	1.05E-109	0.015946727	1527	255	0.481132075	242.1	0.456792453	34	255	0.133333333	0.16938579	0.868308676	-0.036052456	0.022265881	0.015193189
mesoderm.mapping1	imm	45	9368	23732	11461	11442	578	24	0.533333333	0	0	0.533333333	0	207	0.373646209	53.8	0.097111913	0.265051903	1.04E-71	0.018091243	419	307	0.554151625	272.7	0.492238267	18	307	0.058631922	0.031555679	0.026182344	0.027076243	0.042959427	0.01026253
mapping2.eye	imm	28	9368	23753	11461	11454	367	15	0.535714286	0.3	0.010714286	0.525	1.04E-203	63	0.178977273	37	0.105113636	0.070844687	6.36E-08	0.005500262	153	129	0.366477273	175.4	0.498295455	4	129	0.031007752	0.004704458	9.05E-06	0.026303294	0.026143791	0.002614379
mapping2.ectoderm	imm	74	9368	23659	11461	11451	545	33	0.445945946	0.2	0.002702703	0.443243243	0	133	0.259765625	54.7	0.106835938	0.143669725	6.17E-14	0.011614706	1693	192	0.375	250.2	0.488671875	61	192	0.317708333	0.169775026	1.22E-06	0.147933307	0.036030715	0.013644418
blastoderm.mapping1	imm	48	9368	23721	11461	11450	431	34	0.708333333	0.2	0.004166667	0.704166667	0	136	0.34256927	41.9	0.105541562	0.218329466	1.48E-177	0.011877729	571	213	0.536523929	191.3	0.48186398	63	213	0.295774648	0.039537134	0	0.256237514	0.11033275	0.007355517
mapping1.amnioserosa	imm	8	9368	23792	11461	11461	194	6	0.75	0	0	0.75	0	42	0.223404255	18.9	0.100531915	0.119072165	1.36E-14	0.003664602	278	56	0.29787234	90.9	0.483510638	4	56	0.071428571	0.033843292	0.053536584	0.037585279	0.014388489	0.006115108
mapping2.mesoderm	imm	100	9368	23608	11461	11429	492	28	0.28	0.4	0.004	0.276	0	175	0.377155172	46.3	0.099784483	0.261585366	4.63E-62	0.015311926	1082	217	0.467672414	234.6	0.505603448	43	217	0.198156682	0.084338883	1.68E-11	0.113817799	0.03974122	0.00961183
cardiac.mapping1	imm	28	9368	23771	11461	11450	435	14	0.5	0	0	0.5	0	179	0.425178147	41.2	0.097862233	0.316781609	5.85E-178	0.015633188	476	233	0.553444181	210.1	0.499049881	18	233	0.077253219	0.032996394	0.003890835	0.044256825	0.037815126	0.007352941
