TsetName	Method	TsetSize	TotalREDfly	ModifiedREDfly	TotalREDfly2010	ModifiedREDfly2010	SCRMs	TrainingSetRecovered	PercentageTrainingSetSensitivity	ExpectedValueRandom	PercentageExpectedTrainingSetSensitivity	DifferencesInPercentagesActual&Expected	P_value	REDflyRecovered	PercentageRedflyRecovered	ExpectedOverlapRandom	PercentageExpectedOverlap	DifferencesInPercentagesActual&Expected	P_value	PercentageRecallREDflyRecovery	numberOfKnownCrmsCausesExpressionInTset	numOfSCRMsRecoveredExpMappedCrms	PercentagePatternRecovery	RandomREDflyRecoveredPattern	PercentageOfRandomPatternRecovered	numOfRecoveredSCrmsBelongingToOwnGroup	numOfRecoveredSCrmsBelongingToAnyGroup	percentageExpressionPatternPrecision	ExpectedpercentageExpressionPatternPrecision	P_value	DifferencesInPercentagesActual&ExpectedExpressionRecovered	percentageExpressionPatternRecall	ExpectedpercentageExpressionPatternRecall
endoderm.mapping1	imm	52	9368	23729	11461	11434	473	25	0.480769231	0.2	0.003846154	0.476923077	0	122	0.272321429	46.3	0.103348214	0.160042283	8.54E-48	0.010669932	1310	187	0.417410714	211.7	0.472544643	28	187	0.14973262	0.115903446	0.162876134	0.033829174	0.021374046	0.010305344
mapping1.pns	imm	58	9368	23699	11461	11443	374	37	0.637931034	0.5	0.00862069	0.629310345	0.00E+00	65	0.192878338	39.1	0.116023739	0.069251337	4.30E-06	0.005680329	612	138	0.409495549	168.2	0.499109792	18	138	0.130434783	0.04629951	0.000828528	0.084135273	0.029411765	0.006535948
disc.mapping1	imm	66	9368	23708	11461	11445	495	25	0.378787879	0.3	0.004545455	0.374242424	0	90	0.191489362	46.3	0.098510638	0.088282828	4.34E-38	0.007863696	1638	176	0.374468085	220.3	0.468723404	49	176	0.278409091	0.17430046	0.000880365	0.104108631	0.02991453	0.013064713
disc.mapping2	imm	37	9368	23759	11461	11451	423	20	0.540540541	0.1	0.002702703	0.537837838	0	85	0.210918114	42.2	0.10471464	0.101182033	1.81E-37	0.007422932	1204	139	0.344913151	207.6	0.515136476	26	139	0.18705036	0.13020413	0.001729969	0.05684623	0.021594684	0.011461794
embryonic_salivary	imm	7	9368	23798	11461	11458	428	5	0.714285714	0	0	0.714285714	0	90	0.212765957	36.5	0.086288416	0.125	6.70E-95	0.007854774	70	85	0.200945626	192.5	0.455082742	1	85	0.011764706	0.006520729	0.241922041	0.005243977	0.014285714	0.01
adult_foregut	imm	20	9368	23788	11461	11456	310	10	0.5	0	0	0.5	0	76	0.253333333	29.9	0.099666667	0.148709677	1.18E-53	0.006634078	62	129	0.43	150.4	0.501333333	0	129	0	0.002648084	0.681716675	-0.002648084	0	0.003225806
eye.mapping1	imm	20	9368	23779	11461	11456	296	14	0.7	0.1	0.005	0.695	0	62	0.219858156	26.5	0.093971631	0.119932432	4.01E-19	0.005412011	151	100	0.354609929	134.2	0.475886525	7	100	0.07	0.018733841	0.008218441	0.051266159	0.046357616	0.009271523
mapping1.ventral_ectoderm	imm	18	9368	23772	11461	11458	375	14	0.777777778	0.1	0.005555556	0.772222222	0	72	0.199445983	36.2	0.100277008	0.095466667	1.10E-11	0.006283819	571	134	0.371191136	153.2	0.424376731	14	134	0.104477612	0.057120407	0.018057165	0.047357205	0.024518389	0.00910683
eye.mapping2	imm	64	9368	23717	11461	11436	544	27	0.421875	0.4	0.00625	0.415625	0	133	0.257253385	54.1	0.104642166	0.145036765	1.71E-34	0.011629941	866	224	0.433268859	250.3	0.484139265	28	224	0.125	0.101238751	0.159566238	0.023761249	0.032332564	0.016512702
adult_mesoderm.mapping1	imm	30	9368	23761	11461	11451	406	20	0.666666667	0.3	0.01	0.656666667	0	112	0.29015544	35.4	0.091709845	0.188669951	2.05E-53	0.009780805	77	168	0.435233161	183.9	0.47642487	8	168	0.047619048	0.00222332	0	0.045395727	0.103896104	0.002597403
mapping2.glia	imm	9	9368	23790	11461	11460	253	9	1	0	0	1	0	51	0.209016393	22.2	0.090983607	0.113833992	2.17E-06	0.004450262	96	77	0.31557377	117.8	0.482786885	7	77	0.090909091	0.006372597	9.96E-14	0.084536494	0.072916667	0.004166667
eye_disc	imm	35	9368	23754	11461	11456	325	17	0.485714286	0	0	0.485714286	0	70	0.227272727	32.5	0.105519481	0.115384615	2.02E-13	0.006110335	793	96	0.311688312	147.2	0.477922078	17	96	0.177083333	0.085842902	0.001772037	0.091240431	0.021437579	0.008322825
mapping1.somatic_muscle	imm	36	9368	23735	11461	11445	495	22	0.611111111	0.2	0.005555556	0.605555556	1.18E-260	96	0.202959831	48.8	0.103171247	0.095353535	1.21E-11	0.008387942	215	159	0.33615222	233.8	0.494291755	20	159	0.125786164	0.010725929	0	0.115060235	0.093023256	0.006046512
mapping2.imaginal_disc	imm	31	9368	23746	11461	11448	406	22	0.709677419	0.1	0.003225806	0.706451613	0	73	0.190104167	43.7	0.113802083	0.072167488	7.03E-09	0.00637666	157	160	0.416666667	193.1	0.502864583	12	160	0.075	0.010268278	2.70E-06	0.064731722	0.076433121	0.006369427
reproductive.mapping2	imm	46	9368	23732	11461	11445	886	3	0.065217391	0.1	0.002173913	0.063043478	2.35E-20	66	0.074745187	87.6	0.099207248	-0.024379233	0.000167419	0.00576671	577	128	0.144960362	419.7	0.475311438	5	128	0.0390625	0.06327793	0.94903983	-0.02421543	0.008665511	0.024090121
glia.mapping1	imm	40	9368	23757	11461	11450	475	22	0.55	0.1	0.0025	0.5475	0	65	0.143487859	42.1	0.092935982	0.048210526	3.08E-06	0.005676856	454	144	0.317880795	218.8	0.483002208	19	144	0.131944444	0.053250295	0.000208541	0.078694149	0.04185022	0.013436123
glia.mapping2	imm	42	9368	23754	11461	11449	424	21	0.5	0.2	0.004761905	0.495238095	0	58	0.143920596	37	0.091811414	0.049528302	0.000379277	0.005065945	456	123	0.305210918	191.3	0.474689826	15	123	0.12195122	0.051903136	0.007616503	0.070048084	0.032894737	0.011403509
embryonic_somatic_muscle	imm	25	9368	23769	11461	11447	343	19	0.76	0	0	0.76	0	68	0.209876543	34.6	0.106790123	0.097376093	8.50E-16	0.005940421	184	101	0.311728395	151.6	0.467901235	6	101	0.059405941	0.010953525	3.09E-05	0.048452415	0.032608696	0.004891304
mapping2.tracheal_system	imm	21	9368	23765	11461	11449	450	17	0.80952381	0.4	0.019047619	0.79047619	5.06E-227	49	0.113163972	45.2	0.104387991	0.008444444	0.282775697	0.00427985	279	158	0.364896074	210	0.484988453	15	158	0.094936709	0.025023962	5.68E-06	0.069912747	0.053763441	0.009677419
gonad	imm	38	9368	23741	11461	11449	816	3	0.078947368	0	0	0.078947368	0	67	0.082410824	80.4	0.098892989	-0.016421569	0.024689407	0.005852039	230	123	0.151291513	369.1	0.45399754	3	123	0.024390244	0.010671068	0.033978766	0.013719176	0.013043478	0.009130435
mapping2.reproductive_system	imm	30	9368	23747	11461	11455	292	9	0.3	0	0	0.3	0	40	0.141342756	31.7	0.112014134	0.028424658	0.072570222	0.003491925	138	98	0.346289753	140.2	0.49540636	2	98	0.020408163	0.002564103	0.013879091	0.017844061	0.014492754	0.001449275
haltere_disc	imm	18	9368	23786	11461	11452	372	11	0.611111111	0	0	0.611111111	0	74	0.20498615	33.7	0.093351801	0.108333333	1.72E-08	0.006461753	551	118	0.326869806	165.5	0.458448753	6	118	0.050847458	0.081684957	0.948227721	-0.030837499	0.010889292	0.013793103
embryonic_midgut	imm	34	9368	23748	11461	11445	460	17	0.5	0	0	0.5	0	74	0.167042889	42.2	0.095259594	0.069130435	1.28E-16	0.006465706	321	135	0.304740406	197.7	0.446275395	8	135	0.059259259	0.02541012	0.013932978	0.033849139	0.024922118	0.008722741
mapping1.malpighian_tubules	imm	6	9368	23796	11461	11460	220	5	0.833333333	0	0	0.833333333	0	36	0.16744186	20.6	0.095813953	0.07	7.45E-10	0.003141361	106	42	0.195348837	89.8	0.417674419	1	42	0.023809524	0.001785714	4.81E-05	0.02202381	0.009433962	0.000943396
adult_muscle	imm	16	9368	23782	11461	11456	285	11	0.6875	0.1	0.00625	0.68125	1.18E-260	44	0.160583942	26.2	0.095620438	0.06245614	4.83E-05	0.003840782	45	51	0.186131387	144.4	0.527007299	5	51	0.098039216	0.001515152	0	0.096524064	0.111111111	0.002222222
embryonic_ventral_nervous_system	imm	68	9368	23731	11461	11412	554	22	0.323529412	0	0	0.323529412	0	56	0.105263158	53.7	0.10093985	0.004151625	0.410880348	0.004907115	1441	128	0.240601504	252.4	0.47443609	27	128	0.2109375	0.163536775	0.118416444	0.047400725	0.018736988	0.015197779
leg	imm	40	9368	23752	11461	11448	499	19	0.475	0.1	0.0025	0.4725	0	49	0.102083333	48	0.1	0.002004008	0.449738209	0.004280224	1049	90	0.1875	234.6	0.48875	18	90	0.2	0.13833475	0.104800108	0.06166525	0.017159199	0.016015253
emb-larv_hindgut	imm	14	9368	23784	11461	11457	349	12	0.857142857	0.1	0.007142857	0.85	3.3331054129278e-310	60	0.178041543	31.9	0.094658754	0.080515759	5.39E-06	0.005236973	141	94	0.278931751	151.8	0.450445104	5	94	0.053191489	0.013542672	0.015369592	0.039648817	0.035460993	0.008510638
emb-larval_opticlobe	imm	29	9368	23778	11461	11441	601	20	0.689655172	0.1	0.003448276	0.686206897	0	90	0.154905336	56.6	0.097418244	0.055574043	7.58E-06	0.007866445	1054	141	0.242685026	274.6	0.472633391	16	141	0.113475177	0.135639779	0.656782591	-0.022164602	0.015180266	0.018311195
adult_cns	imm	82	9368	23713	11461	11402	724	15	0.182926829	0.2	0.002439024	0.180487805	2.09E-121	55	0.077574048	67.7	0.095486601	-0.017541436	0.047714269	0.004823715	2699	144	0.203102962	331.7	0.467842031	43	144	0.298611111	0.287596471	0.397566905	0.01101464	0.015931827	0.018932938
emb-larval_mushroombody	imm	40	9368	23768	11461	11429	447	19	0.475	0	0	0.475	0	25	0.058411215	41.9	0.097897196	-0.037807606	0.0015261	0.002187418	459	70	0.163551402	202.7	0.473598131	10	70	0.142857143	0.039466635	5.36E-08	0.103390508	0.021786492	0.009368192
mapping1.dorsal_ectoderm	imm	13	9368	23781	11461	11461	247	12	0.923076923	0.1	0.007692308	0.915384615	3.3331054129278e-310	48	0.204255319	23.4	0.099574468	0.099595142	2.82E-09	0.004188116	354	69	0.293617021	117.1	0.498297872	7	69	0.101449275	0.046998404	0.105413849	0.054450871	0.019774011	0.007909605
imaginal_disc	imm	71	9368	23702	11461	11445	597	23	0.323943662	0.1	0.001408451	0.322535211	0	51	0.088850174	59	0.102787456	-0.013400335	0.166382091	0.004456094	1661	92	0.160278746	269.8	0.470034843	26	92	0.282608696	0.165558654	1.32E-05	0.117050042	0.015653221	0.014208308
emb-larv_visceral	imm	27	9368	23764	11461	11450	322	15	0.555555556	0.2	0.007407407	0.548148148	3.22E-270	74	0.241042345	30.8	0.100325733	0.134161491	1.30E-09	0.006462882	219	123	0.400651466	146.8	0.478175896	3	123	0.024390244	0.023354738	0.455626728	0.001035505	0.01369863	0.008219178
emb-larval_neuron	imm	73	9368	23732	11461	11407	730	9	0.123287671	0.1	0.001369863	0.121917808	1.41E-174	40	0.055478502	75.1	0.104160888	-0.048082192	4.43E-07	0.003506619	2400	86	0.119278779	331	0.459084605	17	86	0.197674419	0.267916709	0.999528497	-0.07024229	0.007083333	0.019333333
fat_body.mapping1	imm	16	9368	23783	11461	11453	227	12	0.75	0	0	0.75	0	42	0.195348837	20	0.093023256	0.0969163	1.07E-10	0.003667161	58	53	0.246511628	105.2	0.489302326	3	53	0.056603774	0	0	0.056603774	0.051724138	0
mapping2.mesectoderm	imm	8	9368	23792	11461	11459	216	8	1	0	0	1	0	48	0.230769231	18.5	0.088942308	0.136574074	2.24E-11	0.004188847	116	74	0.355769231	101.4	0.4875	5	74	0.067567568	0.004415954	1.23E-11	0.063151613	0.043103448	0.001724138
mapping1.mesoderm	imm	26	9368	23755	11461	11456	372	21	0.807692308	0	0	0.807692308	0	78	0.222222222	34.9	0.099430199	0.115860215	1.09E-10	0.006808659	380	151	0.43019943	170.2	0.484900285	20	151	0.132450331	0.013157546	0	0.119292785	0.052631579	0.003157895
emb-larval_cns	imm	56	9368	23748	11461	11419	597	10	0.178571429	0	0	0.178571429	0	50	0.085178876	54	0.091993186	-0.006700168	0.276226452	0.004378667	626	94	0.160136286	271.4	0.462350937	6	94	0.063829787	0.057654641	0.327738486	0.006175146	0.009584665	0.013578275
trachea.mapping1	imm	24	9368	23768	11461	11449	354	12	0.5	0	0	0.5	0	59	0.17251462	32.8	0.095906433	0.074011299	9.24E-07	0.005153288	284	120	0.350877193	163.6	0.478362573	6	120	0.05	0.036195454	0.220987217	0.013804546	0.021126761	0.010915493
antennal_lobe	imm	31	9368	23777	11461	11437	615	18	0.580645161	0	0	0.580645161	0	74	0.123953099	58.8	0.098492462	0.024715447	0.029758022	0.006470228	1353	160	0.2680067	290.5	0.486599665	23	160	0.14375	0.178059874	0.858928554	-0.034309874	0.016999261	0.019955654
adult_brain	imm	77	9368	23719	11461	11406	733	16	0.207792208	0.1	0.001298701	0.206493506	0	58	0.080892608	67.2	0.093723849	-0.01255116	0.012974792	0.005085043	2661	148	0.206415621	343	0.478382148	47	148	0.317567568	0.261021737	0.066402804	0.056545831	0.017662533	0.018038331
mesectoderm.mapping1	imm	20	9368	23778	11461	11454	287	14	0.7	0.3	0.015	0.685	3.00E-177	76	0.278388278	27.7	0.101465201	0.168292683	5.46E-33	0.006635237	133	117	0.428571429	137.1	0.502197802	8	117	0.068376068	0.016270148	3.38E-05	0.05210592	0.060150376	0.008270677
embryonic_pns	imm	28	9368	23767	11461	11448	356	19	0.678571429	0	0	0.678571429	0	86	0.255192878	36.4	0.108011869	0.139325843	5.20E-10	0.007512229	193	161	0.477744807	177.4	0.526409496	8	161	0.049689441	0.020973867	0.058134626	0.028715574	0.041450777	0.009326425
mapping2.endoderm	imm	29	9368	23751	11461	11457	458	17	0.586206897	0.2	0.006896552	0.579310345	0	64	0.145124717	44	0.099773243	0.043668122	0.000159991	0.005586105	1204	111	0.25170068	202.9	0.460090703	22	111	0.198198198	0.121880393	0.0097398	0.076317805	0.018272425	0.011212625
adult_nervous	imm	101	9368	23686	11461	11399	856	13	0.128712871	0.4	0.003960396	0.124752475	6.73E-73	60	0.071174377	78.1	0.092645314	-0.02114486	0.006077565	0.00526362	2814	170	0.201660735	374.9	0.444721234	48	170	0.282352941	0.280128962	0.466229366	0.002223979	0.017057569	0.02039801
mapping2.amnioserosa	imm	8	9368	23792	11461	11461	188	6	0.75	0	0	0.75	0	27	0.148351648	16.5	0.090659341	0.055851064	0.004160253	0.002355815	278	36	0.197802198	83.4	0.458241758	4	36	0.111111111	0.029385451	0.000332398	0.08172566	0.014388489	0.004676259
eye-antennal_disc	imm	45	9368	23738	11461	11453	479	19	0.422222222	0.1	0.002222222	0.42	0	100	0.217391304	41.7	0.090652174	0.1217119	2.00E-67	0.008731337	1068	172	0.373913043	206.9	0.449782609	28	172	0.162790698	0.12105387	0.140675752	0.041736828	0.026217228	0.013389513
mesoderm.mapping2	imm	147	9368	23577	11461	11395	542	34	0.231292517	0.5	0.003401361	0.227891156	0	166	0.326771654	52.3	0.102952756	0.209778598	7.34E-33	0.014567793	1581	237	0.466535433	260.9	0.513582677	57	237	0.240506329	0.105922175	1.30E-05	0.134584154	0.036053131	0.008791904
mapping2.wing	imm	42	9368	23728	11461	11448	619	26	0.619047619	0.6	0.014285714	0.604761905	0	106	0.178752108	60.1	0.101349073	0.074151858	4.30E-18	0.009259259	166	249	0.41989882	277.6	0.468128162	16	249	0.064257028	0.01613401	2.65E-06	0.048123018	0.096385542	0.014457831
glia	imm	33	9368	23767	11461	11451	490	14	0.424242424	0.3	0.009090909	0.415151515	3.00E-177	68	0.142857143	45.7	0.096008403	0.045510204	0.000731944	0.005938346	499	127	0.266806723	237.6	0.499159664	10	127	0.078740157	0.045464895	0.045228814	0.033275262	0.02004008	0.011422846
mapping1.female_gonad	imm	13	9368	23782	11461	11456	312	5	0.384615385	0	0	0.384615385	0	29	0.094462541	28.8	0.093811075	0.000641026	0.487236706	0.002531425	68	49	0.159609121	131.8	0.429315961	3	49	0.06122449	0	0	0.06122449	0.044117647	0
emb-larv_excretory	imm	14	9368	23785	11461	11456	377	9	0.642857143	0	0	0.642857143	0	76	0.206521739	35	0.095108696	0.108753316	3.51E-10	0.006634078	112	112	0.304347826	173.4	0.471195652	3	112	0.026785714	0.011353134	0.137355888	0.01543258	0.026785714	0.008928571
adult_sense_organ	imm	48	9368	23745	11461	11447	520	23	0.479166667	0.1	0.002083333	0.477083333	0	72	0.144869215	52.1	0.104828974	0.038269231	0.000369102	0.006289858	514	138	0.277665996	224.7	0.452112676	22	138	0.15942029	0.046313184	0	0.113107106	0.042801556	0.011089494
adult_circulatory	imm	20	9368	23786	11461	11458	310	9	0.45	0.2	0.01	0.44	2.60E-44	71	0.235880399	28.7	0.095348837	0.136451613	2.29E-16	0.006196544	33	119	0.395348837	143.1	0.475415282	1	119	0.008403361	0	0	0.008403361	0.03030303	0
mapping1.tracheal_system	imm	21	9368	23765	11461	11449	450	17	0.80952381	0.3	0.014285714	0.795238095	3.30E-262	49	0.113163972	42.4	0.097921478	0.014666667	0.095074528	0.00427985	279	158	0.364896074	216.4	0.499769053	15	158	0.094936709	0.031713372	0.001096168	0.063223337	0.053763441	0.012903226
mapping1.imaginal_disc	imm	77	9368	23659	11461	11435	579	36	0.467532468	0.9	0.011688312	0.455844156	3.31E-273	78	0.143646409	63.4	0.116758748	0.025215889	0.073744458	0.006821163	304	204	0.375690608	276.8	0.509760589	23	204	0.112745098	0.01331157	0	0.099433528	0.075657895	0.00625
emb-larv_foregut	imm	36	9368	23757	11461	11444	461	17	0.472222222	0.1	0.002777778	0.469444444	0	84	0.189189189	44.6	0.10045045	0.085466377	2.87E-08	0.007340091	316	167	0.376126126	216.3	0.487162162	10	167	0.05988024	0.031150221	0.095939	0.028730018	0.03164557	0.011075949
mapping1.glia	imm	8	9368	23792	11461	11461	197	8	1	0	0	1	0	54	0.285714286	19.4	0.102645503	0.175634518	7.26E-10	0.004711631	92	68	0.35978836	96.6	0.511111111	7	68	0.102941176	0.007911019	0	0.095030158	0.076086957	0.004347826
ectoderm.mapping2	imm	90	9368	23659	11461	11421	520	34	0.377777778	0.4	0.004444444	0.373333333	0	105	0.216049383	46.9	0.096502058	0.111730769	2.88E-43	0.009193591	2510	199	0.409465021	248.5	0.511316872	63	199	0.316582915	0.228079615	0.029675312	0.0885033	0.025099602	0.01187251
ectoderm.mapping1	imm	58	9368	23712	11461	11436	467	24	0.413793103	0.1	0.001724138	0.412068966	0	93	0.20993228	43.1	0.097291196	0.106852248	7.32E-08	0.008132214	1329	158	0.356659142	207.8	0.469074492	30	158	0.189873418	0.110954799	0.000487686	0.078918619	0.022573363	0.008878856
mapping1.ectoderm	imm	53	9368	23702	11461	11454	543	29	0.547169811	0.4	0.00754717	0.539622642	0	106	0.206225681	53.3	0.103696498	0.097053407	2.05E-06	0.009254409	1201	188	0.365758755	236.3	0.459727626	31	188	0.164893617	0.120229629	0.080211219	0.044663988	0.025811823	0.013405495
embryonic_muscle	imm	31	9368	23757	11461	11445	392	20	0.64516129	0	0	0.64516129	0	90	0.241935484	38.4	0.103225806	0.131632653	1.18E-34	0.007863696	192	125	0.336021505	182.6	0.490860215	9	125	0.072	0.012953135	3.23E-07	0.059046865	0.046875	0.006770833
mapping1.cns	imm	65	9368	23682	11461	11449	532	32	0.492307692	0.5	0.007692308	0.484615385	8.93E-231	71	0.142	54.1	0.1082	0.031766917	0.030020783	0.006201415	2367	188	0.376	246	0.492	75	188	0.39893617	0.210879753	1.87E-07	0.188056417	0.031685678	0.011322349
male_gonad.mapping1	imm	21	9368	23773	11461	11457	373	5	0.238095238	0.1	0.004761905	0.233333333	1.87E-54	38	0.10326087	33.9	0.092119565	0.010991957	0.117093581	0.00331675	76	58	0.157608696	170.5	0.463315217	5	58	0.086206897	0.000980392	0	0.085226504	0.065789474	0.001315789
mapping1.endoderm	imm	29	9368	23751	11461	11457	458	17	0.586206897	0.1	0.003448276	0.582758621	0	64	0.145124717	44.9	0.101814059	0.041703057	2.88E-05	0.005586105	1202	111	0.25170068	207.6	0.470748299	22	111	0.198198198	0.083119073	6.18E-06	0.115079125	0.018302829	0.007903494
pns.mapping1	imm	53	9368	23728	11461	11445	477	30	0.566037736	0.1	0.001886792	0.564150943	0	75	0.167785235	43.2	0.096644295	0.066666667	9.03E-10	0.00655308	773	135	0.302013423	219	0.489932886	19	135	0.140740741	0.086014872	0.000261992	0.054725869	0.02457956	0.012936611
mapping1.male_gonad	imm	15	9368	23777	11461	11460	397	7	0.466666667	0.1	0.006666667	0.46	7.54E-106	56	0.143589744	39.7	0.101794872	0.041057935	0.012970197	0.004886562	57	91	0.233333333	181.3	0.464871795	1	91	0.010989011	0	0	0.010989011	0.01754386	0
female_gonad.mapping1	imm	29	9368	23760	11461	11449	449	12	0.413793103	0.2	0.006896552	0.406896552	1.20E-172	95	0.217391304	42.8	0.097940503	0.116258352	1.57E-10	0.008297668	150	114	0.260869565	207.6	0.475057208	6	114	0.052631579	0.009468433	1.84E-07	0.043163146	0.04	0.007333333
wing.mapping2	imm	33	9368	23761	11461	11452	356	18	0.545454545	0.3	0.009090909	0.536363636	3.01E-294	66	0.195266272	34.8	0.10295858	0.087640449	1.16E-07	0.005763185	965	102	0.301775148	161.5	0.477810651	18	102	0.176470588	0.106693066	0.021495597	0.069777522	0.01865285	0.009637306
neuron	imm	77	9368	23728	11461	11413	887	8	0.103896104	0.1	0.001298701	0.102597403	4.80E-138	70	0.07963595	84.7	0.096359499	-0.016572717	0.027951066	0.006133357	1527	142	0.161547213	406.6	0.462571104	14	142	0.098591549	0.175943608	0.999982711	-0.077352059	0.009168304	0.025343811
mesoderm.mapping1	imm	45	9368	23732	11461	11442	511	30	0.666666667	0.2	0.004444444	0.662222222	0	120	0.249480249	45.5	0.094594595	0.145792564	1.00E-28	0.010487677	419	212	0.440748441	223	0.463617464	15	212	0.070754717	0.031518577	0.000190901	0.03923614	0.035799523	0.009307876
mapping2.eye	imm	28	9368	23753	11461	11454	378	16	0.571428571	0.2	0.007142857	0.564285714	1.27E-307	50	0.138121547	37.8	0.10441989	0.032275132	0.045269714	0.004365287	153	144	0.397790055	175.4	0.484530387	6	144	0.041666667	0.010947838	0.001992081	0.030718829	0.039215686	0.006535948
mapping2.ectoderm	imm	74	9368	23659	11461	11451	616	42	0.567567568	0.7	0.009459459	0.558108108	0	106	0.18466899	56.5	0.098432056	0.080357143	5.69E-11	0.009256833	1693	231	0.402439024	278.8	0.485714286	66	231	0.285714286	0.156575963	2.81E-06	0.129138323	0.038984052	0.014589486
blastoderm.mapping1	imm	48	9368	23721	11461	11450	440	34	0.708333333	0.1	0.002083333	0.70625	0	122	0.300492611	42.8	0.105418719	0.18	1.03E-55	0.010655022	571	189	0.465517241	191.8	0.472413793	73	189	0.386243386	0.032629731	0	0.353613656	0.127845884	0.005954466
mapping1.amnioserosa	imm	8	9368	23792	11461	11461	188	6	0.75	0	0	0.75	0	27	0.148351648	18.1	0.099450549	0.047340426	0.027277336	0.002355815	278	36	0.197802198	82.2	0.451648352	4	36	0.111111111	0.03132011	0.010005435	0.079791001	0.014388489	0.005035971
mapping2.mesoderm	imm	100	9368	23608	11461	11429	552	40	0.4	0.5	0.005	0.395	0	160	0.3125	50.9	0.099414063	0.197644928	5.52E-105	0.013999475	1082	246	0.48046875	238.3	0.465429688	59	246	0.239837398	0.078530108	0	0.16130729	0.054528651	0.009704251
cardiac.mapping1	imm	28	9368	23771	11461	11450	378	18	0.642857143	0.1	0.003571429	0.639285714	0	104	0.288888889	33.4	0.092777778	0.186772487	4.70E-29	0.009082969	476	141	0.391666667	160.1	0.444722222	12	141	0.085106383	0.041711327	0.0412436	0.043395056	0.025210084	0.007773109
